Account,Jan 2024,Feb 2024,Mar 2024,Q1 Total,Account Type
Revenue,125000.50,138750.75,142300.25,406051.50,Income
Cost of Goods Sold,62500.25,69375.38,71150.13,203025.76,Expense
Gross Profit,62500.25,69375.37,71150.12,203025.74,Calculated
Operating Expenses,35000.00,37200.00,38500.00,110700.00,Expense
Marketing,8500.00,9200.00,9800.00,27500.00,Expense
Research & Development,12000.00,13500.00,14200.00,39700.00,Expense
Administrative,14500.00,14500.00,14500.00,43500.00,Expense
Net Income,27500.25,32175.37,32650.12,92325.74,Income
Assets,450000.00,467500.00,485200.00,485200.00,Balance Sheet
Liabilities,125000.00,130000.00,135500.00,135500.00,Balance Sheet
Equity,325000.00,337500.00,349700.00,349700.00,Balance Sheet
